primary_cat,n_papers,total_triplets,avg_triplets,med_triplets,std_triplets,max_triplets
cs.CV,50,149,2.98,4,2.39,7
quant-ph,45,135,3.0,3,1.76,7
hep-ph,45,124,2.76,3,1.23,5
cs.LG,43,113,2.63,3,2.55,12
cs.CL,30,101,3.37,4,2.53,8
hep-th,34,96,2.82,3,1.34,6
astro-ph,32,95,2.97,3,2.16,7
gr-qc,29,92,3.17,3,1.73,8
cond-mat.str-el,21,61,2.9,3,1.79,5
cond-mat.mes-hall,20,57,2.85,3,2.23,8
math.CO,21,57,2.71,3,1.31,5
astro-ph.SR,18,52,2.89,3,1.97,6
cond-mat.stat-mech,18,52,2.89,3,1.64,5
astro-ph.HE,17,50,2.94,3,2.22,6
math.NA,17,47,2.76,3,1.71,5
nucl-th,15,45,3.0,3,1.36,5
eess.SY,14,44,3.14,3,1.75,7
astro-ph.GA,19,41,2.16,2,2.17,7
math.PR,15,40,2.67,3,1.29,4
cs.RO,16,38,2.38,3,2.13,6
astro-ph.CO,15,36,2.4,3,1.96,5
math.AP,14,35,2.5,3,0.85,3
cs.CR,12,34,2.83,3,1.99,6
cond-mat.mtrl-sci,20,34,1.7,0,2.27,6
cond-mat.supr-con,12,33,2.75,3,2.01,5
math.NT,14,31,2.21,2,1.37,4
eess.IV,8,29,3.62,4,1.77,6
cs.IT,14,26,1.86,1,2.03,5
cs.SE,9,25,2.78,3,1.72,5
math.OC,12,25,2.08,2,1.73,5
physics.optics,10,25,2.5,3,1.58,5
cs.NI,6,24,4.0,4,1.1,6
physics.plasm-ph,6,23,3.83,3,0.98,5
math.ST,13,23,1.77,2,1.69,4
math.CA,8,22,2.75,2,1.04,5
math.GT,10,22,2.2,2,1.55,5
physics.flu-dyn,7,20,2.86,4,2.85,7
math.AG,8,20,2.5,2,0.53,3
stat.ML,9,20,2.22,3,1.79,4
physics.comp-ph,4,19,4.75,4,2.5,8
math.RA,8,19,2.38,2,1.19,4
astro-ph.EP,8,19,2.38,2,2.56,7
cs.HC,5,19,3.8,4,0.84,5
math.FA,10,18,1.8,2,1.32,3
math.DG,9,18,2.0,2,0.87,3
math-ph,8,18,2.25,2,1.04,3
hep-ex,6,18,3.0,2,1.67,5
cond-mat.dis-nn,6,17,2.83,3,1.72,5
eess.SP,4,17,4.25,4,3.77,9
cs.NE,4,17,4.25,4,1.26,6
physics.gen-ph,4,16,4.0,3,1.41,6
cs.MA,4,16,4.0,4,0.82,5
hep-lat,5,16,3.2,3,2.17,6
physics.ins-det,6,15,2.5,3,2.07,5
cs.DS,5,15,3.0,3,1.87,5
cs.SI,4,15,3.75,4,2.99,7
math.AC,6,15,2.5,2,1.05,4
cs.AI,6,14,2.33,3,1.97,5
math.GR,8,14,1.75,2,1.16,3
cs.LO,5,14,2.8,3,1.79,5
math.DS,7,14,2.0,2,1.0,3
physics.atom-ph,5,13,2.6,3,1.82,5
math.AT,5,13,2.6,3,0.55,3
stat.ME,9,12,1.33,0,1.87,5
math.RT,5,12,2.4,2,0.89,4
nucl-ex,7,12,1.71,2,1.7,4
econ.EM,3,11,3.67,4,0.58,4
physics.soc-ph,3,11,3.67,4,0.58,4
cs.DM,5,11,2.2,3,1.3,3
cs.ET,2,11,5.5,5,3.54,8
cs.DC,4,10,2.5,2,1.29,4
math.CV,4,9,2.25,2,0.5,3
physics.chem-ph,3,9,3.0,3,1.0,4
astro-ph.IM,5,9,1.8,0,2.49,5
math.QA,3,9,3.0,3,1.0,4
math.SP,3,8,2.67,2,1.15,4
physics.bio-ph,2,7,3.5,3,0.71,4
cond-mat.quant-gas,3,7,2.33,3,2.08,4
cs.CY,3,7,2.33,3,2.08,4
eess.AS,2,7,3.5,3,0.71,4
cs.GR,2,7,3.5,3,0.71,4
cs.IR,4,7,1.75,1,2.06,4
physics.class-ph,2,6,3.0,3,0.0,3
physics.med-ph,1,6,6.0,6,,6
nlin.PS,2,6,3.0,3,0.0,3
stat.AP,2,6,3.0,3,0.0,3
physics.acc-ph,2,5,2.5,2,3.54,5
cond-mat.other,2,5,2.5,2,0.71,3
q-bio.PE,3,5,1.67,0,2.89,5
nlin.SI,1,5,5.0,5,,5
cs.GT,2,5,2.5,2,3.54,5
physics.space-ph,1,4,4.0,4,,4
cs.SC,1,4,4.0,4,,4
cs.SY,1,4,4.0,4,,4
cs.SD,1,4,4.0,4,,4
math.SG,2,4,2.0,2,1.41,3
q-bio.BM,1,4,4.0,4,,4
q-fin.MF,1,4,4.0,4,,4
q-bio.QM,1,4,4.0,4,,4
q-bio.TO,1,4,4.0,4,,4
physics.ed-ph,2,4,2.0,2,0.0,2
q-fin.GN,1,3,3.0,3,,3
q-fin.ST,1,3,3.0,3,,3
econ.GN,1,3,3.0,3,,3
chao-dyn,1,3,3.0,3,,3
cs.AR,1,3,3.0,3,,3
cond-mat,1,3,3.0,3,,3
physics.ao-ph,2,3,1.5,1,2.12,3
cond-mat.soft,5,3,0.6,0,1.34,3
nlin.AO,1,3,3.0,3,,3
nlin.CG,1,3,3.0,3,,3
cs.DB,2,3,1.5,1,2.12,3
nlin.CD,1,3,3.0,3,,3
econ.TH,1,3,3.0,3,,3
physics.data-an,2,3,1.5,1,2.12,3
cs.MS,1,3,3.0,3,,3
physics.app-ph,1,2,2.0,2,,2
math.OA,1,2,2.0,2,,2
dg-ga,1,2,2.0,2,,2
math.CT,1,2,2.0,2,,2
math.HO,1,2,2.0,2,,2
math.LO,1,2,2.0,2,,2
solv-int,1,2,2.0,2,,2
math.MG,1,2,2.0,2,,2
cs.CE,1,0,0.0,0,,0
