Metric,Value
Total papers,1000.0
Papers with identical triplets,4.0
Agreement rate (%),0.4
Total triplets — Babelscape/rebel-large,1047.0
Total triplets — konsman/rebel-quantum-mixed,2711.0
Avg triplets/paper — Babelscape/rebel-large,1.047
Avg triplets/paper — konsman/rebel-quantum-mixed,2.711
Median triplets/paper — Babelscape/rebel-large,1.0
Median triplets/paper — konsman/rebel-quantum-mixed,3.0
Max triplets/paper — Babelscape/rebel-large,4.0
Max triplets/paper — konsman/rebel-quantum-mixed,12.0
Papers where konsman > babel,758.0
Papers where babel > konsman,223.0
Papers where both = 0 triplets,0.0
